zip_code,school_district_name,school_district_score
98391,Auburn School District,9
98092,Auburn School District,9
98047,Auburn School District,9
98042,Auburn School District,9
98032,Auburn School District,9
98010,Auburn School District,9
98002,Auburn School District,9
98001,Auburn School District,9
98004,Bellevue School District,12
98005,Bellevue School District,12
98006,Bellevue School District,12
98007,Bellevue School District,12
98008,Bellevue School District,12
98027,Bellevue School District,12
98033,Bellevue School District,12
98039,Bellevue School District,12
98052,Bellevue School District,12
98056,Bellevue School District,12
98059,Bellevue School District,12
98010,Enumclaw School District,7
98022,Enumclaw School District,7
98038,Enumclaw School District,7
98045,Enumclaw School District,7
98051,Enumclaw School District,7
98092,Enumclaw School District,7
98323,Enumclaw School District,7
98391,Enumclaw School District,7
98001,Federal Way School District,7
98003,Federal Way School District,7
98023,Federal Way School District,7
98032,Federal Way School District,7
98198,Federal Way School District,7
98354,Federal Way School District,7
98032,Highline School District,7
98106,Highline School District,7
98108,Highline School District,7
98126,Highline School District,7
98146,Highline School District,7
98148,Highline School District,7
98158,Highline School District,7
98166,Highline School District,7
98168,Highline School District,7
98188,Highline School District,7
98198,Highline School District,7
98006,Issaquah School District,12
98008,Issaquah School District,12
98024,Issaquah School District,12
98027,Issaquah School District,12
98029,Issaquah School District,12
98038,Issaquah School District,12
98050,Issaquah School District,12
98056,Issaquah School District,12
98058,Issaquah School District,12
98059,Issaquah School District,12
98065,Issaquah School District,12
98074,Issaquah School District,12
98075,Issaquah School District,12
98001,Kent School District,8
98002,Kent School District,8
98010,Kent School District,8
98030,Kent School District,8
98031,Kent School District,8
98032,Kent School District,8
98038,Kent School District,8
98042,Kent School District,8
98055,Kent School District,8
98058,Kent School District,8
98092,Kent School District,8
98188,Kent School District,8
98198,Kent School District,8
98004,Lake Washington School District,12
98005,Lake Washington School District,12
98007,Lake Washington School District,12
98008,Lake Washington School District,12
98011,Lake Washington School District,12
98033,Lake Washington School District,12
98034,Lake Washington School District,12
98039,Lake Washington School District,12
98052,Lake Washington School District,12
98053,Lake Washington School District,12
98072,Lake Washington School District,12
98074,Lake Washington School District,12
98075,Lake Washington School District,12
98004,Mercer Island School District,12
98006,Mercer Island School District,12
98040,Mercer Island School District,12
98072,Monroe School District,7
98077,Monroe School District,7
98272,Monroe School District,7
98290,Monroe School District,7
98296,Monroe School District,7
98011,Northshore School District,12
98012,Northshore School District,12
98021,Northshore School District,12
98028,Northshore School District,12
98034,Northshore School District,12
98036,Northshore School District,12
98052,Northshore School District,12
98072,Northshore School District,12
98077,Northshore School District,12
98155,Northshore School District,12
98296,Northshore School District,12
98006,Renton School District,8
98031,Renton School District,8
98032,Renton School District,8
98055,Renton School District,8
98056,Renton School District,8
98057,Renton School District,8
98058,Renton School District,8
98059,Renton School District,8
98168,Renton School District,8
98178,Renton School District,8
98188,Renton School District,8
98014,Riverview School District,9
98019,Riverview School District,9
98024,Riverview School District,9
98053,Riverview School District,9
98065,Riverview School District,9
98077,Riverview School District,9
98224,Riverview School District,9
98199,Seattle Public Schools,10
98195,Seattle Public Schools,10
98178,Seattle Public Schools,10
98177,Seattle Public Schools,10
98168,Seattle Public Schools,10
98146,Seattle Public Schools,10
98144,Seattle Public Schools,10
98136,Seattle Public Schools,10
98134,Seattle Public Schools,10
98133,Seattle Public Schools,10
98126,Seattle Public Schools,10
98125,Seattle Public Schools,10
98122,Seattle Public Schools,10
98121,Seattle Public Schools,10
98119,Seattle Public Schools,10
98118,Seattle Public Schools,10
98117,Seattle Public Schools,10
98116,Seattle Public Schools,10
98115,Seattle Public Schools,10
98112,Seattle Public Schools,10
98109,Seattle Public Schools,10
98108,Seattle Public Schools,10
98107,Seattle Public Schools,10
98106,Seattle Public Schools,10
98105,Seattle Public Schools,10
98104,Seattle Public Schools,10
98103,Seattle Public Schools,10
98102,Seattle Public Schools,10
98101,Seattle Public Schools,10
98043,Shoreline School District,11
98133,Shoreline School District,11
98155,Shoreline School District,11
98177,Shoreline School District,11
98045,Skykomish School District,7
98068,Skykomish School District,7
98224,Skykomish School District,7
98288,Skykomish School District,7
98014,Snoqualmie Valley School District,10
98024,Snoqualmie Valley School District,10
98027,Snoqualmie Valley School District,10
98038,Snoqualmie Valley School District,10
98045,Snoqualmie Valley School District,10
98053,Snoqualmie Valley School District,10
98065,Snoqualmie Valley School District,10
98068,Snoqualmie Valley School District,10
98074,Snoqualmie Valley School District,10
98075,Snoqualmie Valley School District,10
98224,Snoqualmie Valley School District,10
98010,Tahoma School District,11
98027,Tahoma School District,11
98038,Tahoma School District,11
98042,Tahoma School District,11
98045,Tahoma School District,11
98051,Tahoma School District,11
98058,Tahoma School District,11
98059,Tahoma School District,11
98065,Tahoma School District,11
98188,Tukwila School District,6
98178,Tukwila School District,6
98168,Tukwila School District,6
98070,Vashon Island School District,10
